model,sampling_method,remove_outliers,best_cv_score,best_params,train_f1_macro,test_f1_macro,test_accuracy,train_test_diff,roc_auc,cv_mean_train_f1_macro,cv_std_train_f1_macro,cv_mean_val_f1_macro,cv_std_val_f1_macro,cv_diff_train_val_f1_macro,cv_mean_val_bal_acc,cv_std_val_bal_acc,mean_fit_time,std_fit_time,test_f1_class_0.0,test_f1_class_1.0,test_f1_class_2.0,test_f1_class_3.0,test_f1_class_4.0,train_f1_class_0.0,train_f1_class_1.0,train_f1_class_2.0,train_f1_class_3.0,train_f1_class_4.0
LDA_svd,RandomOverSampler,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5081,0.5058,0.7066,0.0023,0.901,0.5085,0.0032,0.5047,0.0043,0.0038,0.7601,0.0063,47.846,20.6672,0.8062,0.2346,0.4362,0.1487,0.9034,0.8008,0.2474,0.4405,0.1488,0.9031
LDA_svd,SMOTE,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5084,0.5038,0.7022,0.0046,0.9009,0.509,0.0046,0.5047,0.0046,0.0043,0.762,0.0071,78.7588,0.6071,0.8024,0.2332,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_svd,ADASYN,False,0.3384,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.3335,0.3282,0.4373,0.0053,0.8531,0.3441,0.0023,0.3384,0.0035,0.0058,0.6512,0.0033,48.9405,15.8458,0.5469,0.1151,0.2715,0.1129,0.5945,0.55,0.124,0.2748,0.1149,0.6035
LDA_svd,SMOTETomek,False,0.5048,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5084,0.5038,0.7023,0.0046,0.9009,0.509,0.0046,0.5048,0.0046,0.0043,0.762,0.0071,905.1348,46.1918,0.8025,0.2333,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_svd,SMOTEENN,False,0.5008,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5049,0.5003,0.6953,0.0045,0.901,0.5053,0.0044,0.5008,0.0045,0.0044,0.7611,0.0068,882.2565,30.5494,0.7966,0.2309,0.4255,0.1462,0.9025,0.7932,0.2467,0.4344,0.1477,0.9023
LDA_lsqr,RandomOverSampler,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": null}",0.5081,0.5058,0.7066,0.0023,0.901,0.5085,0.0032,0.5047,0.0043,0.0038,0.7601,0.0063,5.8537,0.5894,0.8062,0.2346,0.4362,0.1487,0.9034,0.8008,0.2474,0.4405,0.1488,0.9031
LDA_lsqr,SMOTE,False,0.5047,"{""classifier__tol"": 0.01, ""classifier__solver"": ""eigen"", ""classifier__shrinkage"": 0.0}",0.5084,0.5038,0.7022,0.0046,0.9009,0.509,0.0046,0.5047,0.0046,0.0043,0.762,0.0071,14.7547,0.2047,0.8024,0.2332,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_lsqr,ADASYN,False,0.3384,"{""classifier__tol"": 0.001, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.3335,0.3282,0.4373,0.0053,0.8531,0.3441,0.0023,0.3384,0.0035,0.0058,0.6512,0.0033,24.148,0.6046,0.5469,0.1151,0.2715,0.1129,0.5945,0.55,0.124,0.2748,0.1149,0.6035
LDA_lsqr,SMOTETomek,False,0.5048,"{""classifier__tol"": 0.01, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.5084,0.5038,0.7023,0.0046,0.9009,0.509,0.0046,0.5048,0.0046,0.0043,0.762,0.0071,1117.6978,2.5179,0.8025,0.2333,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_lsqr,SMOTEENN,False,0.5008,"{""classifier__tol"": 0.01, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.5049,0.5003,0.6953,0.0045,0.901,0.5053,0.0044,0.5008,0.0045,0.0044,0.7611,0.0068,1123.6025,7.5392,0.7966,0.2309,0.4255,0.1462,0.9025,0.7932,0.2467,0.4344,0.1477,0.9023
ANN,RandomOverSampler,False,0.8861,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0031566938490132134, ""classifier__batch_size"": 81, ""classifier__beta_1"": 0.9402671130141109, ""classifier__beta_2"": 0.9760982460562961, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0012731194893838976, ""classifier__validation_fraction"": 0.1}",0.9278,0.8603,0.9667,0.0674,0.9876,0.9623,0.0064,0.8861,0.0038,0.0762,0.9097,0.0065,259.3705,64.8879,0.9819,0.6833,0.9277,0.7332,0.9757,0.9887,0.8314,0.9634,0.8674,0.9881
ANN,SMOTE,False,0.8818,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0006974696583264409, ""classifier__batch_size"": 102, ""classifier__beta_1"": 0.9409629316532541, ""classifier__beta_2"": 0.9755992942274873, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0010889492364376551, ""classifier__validation_fraction"": 0.1}",0.9661,0.8846,0.9773,0.0815,0.9841,0.9714,0.0043,0.8818,0.0032,0.0896,0.8942,0.0076,334.2214,24.1809,0.9885,0.7843,0.9374,0.7309,0.9818,0.9961,0.942,0.9842,0.9122,0.9961
ANN,ADASYN,False,0.8718,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0009443704458686746, ""classifier__batch_size"": 119, ""classifier__beta_1"": 0.9041850527796059, ""classifier__beta_2"": 0.9803652725697714, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0013779877954006405, ""classifier__validation_fraction"": 0.15}",0.9563,0.8632,0.9699,0.0931,0.9817,0.9696,0.0038,0.8718,0.0069,0.0979,0.8858,0.0104,281.4999,59.4844,0.9842,0.7464,0.9121,0.6959,0.9774,0.9936,0.9137,0.9712,0.9078,0.9953
ANN,SMOTETomek,False,0.88,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.00012114727134318425, ""classifier__batch_size"": 128, ""classifier__beta_1"": 0.9280677472125195, ""classifier__beta_2"": 0.9879255775294853, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0016588432457626094, ""classifier__validation_fraction"": 0.15}",0.9732,0.8818,0.9767,0.0914,0.9839,0.9714,0.0086,0.88,0.0071,0.0914,0.8951,0.007,1199.421,20.907,0.9881,0.7667,0.9425,0.7331,0.9787,0.9965,0.9533,0.9867,0.9348,0.9946
ANN,SMOTEENN,False,0.8567,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0002566611986222392, ""classifier__batch_size"": 71, ""classifier__beta_1"": 0.9167522307978013, ""classifier__beta_2"": 0.9662466702542925, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0010784738624143148, ""classifier__validation_fraction"": 0.15}",0.9142,0.8542,0.966,0.06,0.9834,0.9312,0.0087,0.8567,0.0117,0.0745,0.8948,0.0083,1346.1526,18.3066,0.9814,0.7003,0.927,0.6943,0.9682,0.9879,0.8428,0.9615,0.7968,0.9821
